Tempo;MV;PV
49.1;60;63.7
49.2;60;63.71
49.3;60;63.71
49.4;60;63.72
49.5;60;63.72
49.6;60;63.73
49.7;60;63.73
49.8;60;63.74
49.9;60;63.74
50;60;63.74
50.1;60;63.75
50.2;60;63.75
50.3;60;63.76
50.4;60;63.76
50.5;60;63.77
50.6;60;63.77
50.7;60;63.77
50.8;60;63.78
50.9;60;63.78
51;60;63.79
51.1;60;63.79
51.2;60;63.79
51.3;60;63.8
51.4;60;63.8
51.5;60;63.81
51.6;60;63.81
51.7;60;63.81
51.8;60;63.82
51.9;60;63.82
52;60;63.82
52.1;60;63.83
52.2;60;63.83
52.3;60;63.83
52.4;60;63.84
52.5;60;63.84
52.6;60;63.84
52.7;60;63.85
52.8;60;63.85
52.9;60;63.85
53;60;63.86
53.1;60;63.86
53.2;60;63.86
53.3;60;63.87
53.4;60;63.87
53.5;60;63.87
53.6;60;63.88
53.7;60;63.88
53.8;60;63.88
53.9;60;63.89
54;60;63.89
54.1;60;63.89
54.2;60;63.9
54.3;60;63.9
54.4;60;63.9
54.5;60;63.9
54.6;60;63.91
54.7;60;63.91
54.8;60;63.91
54.9;60;63.91
55;60;63.92
55.1;60;63.92
55.2;60;63.92
55.3;60;63.93
55.4;60;63.93
55.5;60;63.93
55.6;60;63.93
55.7;60;63.94
55.8;60;63.94
55.9;60;63.94
56;60;63.94
56.1;60;63.95
56.2;60;63.95
56.3;60;63.95
56.4;60;63.96
56.5;60;63.97
56.6;60;63.97
56.7;60;63.98
56.8;60;63.98
56.9;60;63.99
57;60;64
57.1;60;64
57.2;60;64.01
57.3;60;64.01
57.4;60;64.02
57.5;60;64.02
57.6;60;64.03
57.7;60;64.04
57.8;60;64.04
57.9;60;64.05
58;60;64.05
58.1;60;64.06
58.2;60;64.06
58.3;60;64.07
58.4;60;64.07
58.5;60;64.08
58.6;60;64.08
58.7;60;64.09
58.8;60;64.09
58.9;60;64.1
59;60;64.1
59.1;60;64.11
59.2;60;64.11
59.3;60;64.12
59.4;60;64.12
59.5;60;64.13
59.6;60;64.13
59.7;60;64.14
59.8;60;64.14
59.9;60;64.15
60;60;64.15
60.1;60;64.16
60.2;60;64.16
60.3;60;64.16
60.4;60;64.17
60.5;60;64.17
60.6;60;64.18
60.7;60;64.18
60.8;60;64.18
60.9;60;64.19
61;60;64.19
61.1;60;64.19
61.2;60;64.2
61.3;60;64.2
61.4;60;64.21
61.5;60;64.21
61.6;60;64.21
61.7;60;64.22
61.8;60;64.22
61.9;60;64.22
62;60;64.23
62.1;60;64.23
62.2;60;64.24
62.3;60;64.24
62.4;60;64.24
62.5;60;64.25
62.6;60;64.25
62.7;60;64.25
62.8;60;64.26
62.9;60;64.26
63;60;64.26
63.1;60;64.27
63.2;60;64.27
63.3;60;64.27
63.4;60;64.28
63.5;60;64.28
63.6;60;64.28
63.7;60;64.28
63.8;60;64.29
63.9;60;64.29
64;60;64.29
64.1;60;64.29
64.2;60;64.3
64.3;60;64.3
64.4;60;64.3
64.5;60;64.3
64.6;60;64.3
64.7;60;64.3
64.8;60;64.3
64.9;60;64.3
65;60;64.3
65.1;60;64.31
65.2;60;64.31
65.3;60;64.31
65.4;60;64.31
65.5;60;64.31
65.6;60;64.31
65.7;60;64.31
65.8;60;64.3
65.9;60;64.29
66;60;64.29
66.1;60;64.28
66.2;60;64.27
66.3;60;64.27
66.4;60;64.26
66.5;60;64.26
66.6;60;64.25
66.7;60;64.24
66.8;60;64.24
66.9;60;64.23
67;60;64.22
67.1;60;64.22
67.2;60;64.21
67.3;60;64.21
67.4;60;64.2
67.5;60;64.2
67.6;60;64.19
67.7;60;64.18
67.8;60;64.18
67.9;60;64.17
68;60;64.17
68.1;60;64.16
68.2;60;64.16
68.3;60;64.15
68.4;60;64.15
68.5;60;64.14
68.6;60;64.13
68.7;60;64.13
68.8;60;64.12
68.9;60;64.12
69;60;64.11
69.1;60;64.11
69.2;60;64.1
69.3;60;64.1
69.4;60;64.09
69.5;60;64.09
69.6;60;64.08
69.7;60;64.08
69.8;60;64.07
69.9;60;64.07
70;60;64.06
70.1;60;64.06
70.2;60;64.05
70.3;60;64.05
70.4;60;64.04
70.5;60;64.04
70.6;60;64.03
70.7;60;64.03
70.8;60;64.02
70.9;60;64.02
71;60;64.02
71.1;60;64.01
71.2;60;64.01
71.3;60;64
71.4;60;64
71.5;60;63.99
71.6;60;63.99
71.7;60;63.98
71.8;60;63.98
71.9;60;63.98
72;60;63.97
72.1;60;63.97
72.2;60;63.96
72.3;60;63.96
72.4;60;63.95
72.5;60;63.95
72.6;60;63.95
72.7;60;63.94
72.8;60;63.94
72.9;60;63.93
73;60;63.93
73.1;60;63.93
73.2;60;63.92
73.3;60;63.92
73.4;60;63.91
73.5;60;63.91
73.6;60;63.91
73.7;60;63.9
73.8;60;63.9
73.9;60;63.89
74;60;63.89
74.1;60;63.89
74.2;60;63.88
74.3;60;63.88
74.4;60;63.88
74.5;60;63.87
74.6;60;63.87
74.7;60;63.86
74.8;60;63.86
74.9;60;63.86
75;60;63.85
75.1;60;63.85
75.2;60;63.85
75.3;60;63.84
75.4;60;63.84
75.5;60;63.84
75.6;60;63.83
75.7;60;63.83
75.8;60;63.83
75.9;60;63.82
76;60;63.82
76.1;60;63.82
76.2;60;63.81
76.3;60;63.81
76.4;60;63.81
76.5;60;63.8
76.6;60;63.8
76.7;60;63.8
76.8;60;63.79
76.9;60;63.79
77;60;63.79
77.1;60;63.78
77.2;60;63.78
77.3;60;63.79
77.4;60;63.8
77.5;60;63.81
77.6;60;63.81
77.7;60;63.82
77.8;60;63.83
77.9;60;63.84
78;60;63.85
78.1;60;63.85
78.2;60;63.86
78.3;60;63.87
78.4;60;63.88
78.5;60;63.88
78.6;60;63.89
78.7;60;63.9
78.8;60;63.91
78.9;60;63.92
79;60;63.92
79.1;60;63.93
79.2;60;63.94
79.3;60;63.94
79.4;60;63.95
79.5;60;63.96
79.6;60;63.97
79.7;60;63.97
79.8;60;63.98
79.9;60;63.99
80;60;63.99
80.1;60;64
80.2;60;64.01
80.3;60;64.01
80.4;60;64.02
80.5;60;64.03
80.6;60;64.04
80.7;60;64.04
80.8;60;64.05
80.9;60;64.05
81;60;64.06
81.1;60;64.07
81.2;60;64.07
81.3;60;64.08
81.4;60;64.09
81.5;60;64.09
81.6;60;64.1
81.7;60;64.11
81.8;60;64.11
81.9;60;64.12
82;60;64.12
82.1;60;64.13
82.2;60;64.14
82.3;60;64.14
82.4;60;64.15
82.5;60;64.15
82.6;60;64.16
82.7;60;64.17
82.8;60;64.17
82.9;60;64.18
83;60;64.18
83.1;60;64.19
83.2;60;64.19
83.3;60;64.2
83.4;60;64.21
83.5;60;64.21
83.6;60;64.22
83.7;60;64.22
83.8;60;64.23
83.9;60;64.23
84;60;64.24
84.1;60;64.24
84.2;60;64.25
84.3;60;64.25
84.4;60;64.26
84.5;60;64.26
84.6;60;64.27
84.7;60;64.27
84.8;60;64.28
84.9;60;64.28
85;60;64.29
85.1;60;64.29
85.2;60;64.3
85.3;60;64.3
85.4;60;64.31
85.5;60;64.31
85.6;60;64.32
85.7;60;64.32
85.8;60;64.33
85.9;60;64.33
86;60;64.34
86.1;60;64.34
86.2;60;64.35
86.3;60;64.35
86.4;60;64.36
86.5;60;64.36
86.6;60;64.36
86.7;60;64.37
86.8;60;64.37
86.9;60;64.38
87;60;64.38
87.1;60;64.38
87.2;60;64.37
87.3;60;64.36
87.4;60;64.36
87.5;60;64.35
87.6;60;64.35
87.7;60;64.34
87.8;60;64.34
87.9;60;64.33
88;60;64.33
88.1;60;64.32
88.2;60;64.32
88.3;60;64.31
88.4;60;64.31
88.5;60;64.3
88.6;60;64.3
88.7;60;64.29
88.8;60;64.29
88.9;60;64.28
89;60;64.28
89.1;60;64.27
89.2;60;64.27
89.3;60;64.26
89.4;60;64.26
89.5;60;64.25
89.6;60;64.25
89.7;60;64.24
89.8;60;64.24
89.9;60;64.23
90;60;64.23
90.1;60;64.22
90.2;60;64.22
90.3;60;64.21
90.4;60;64.21
90.5;60;64.2
90.6;60;64.2
90.7;60;64.2
90.8;60;64.19
90.9;60;64.19
91;60;64.18
91.1;60;64.18
91.2;60;64.17
91.3;60;64.17
91.4;60;64.16
91.5;60;64.16
91.6;60;64.16
91.7;60;64.15
91.8;60;64.15
91.9;60;64.14
92;60;64.14
92.1;60;64.14
92.2;60;64.13
92.3;60;64.13
92.4;60;64.12
92.5;60;64.12
92.6;60;64.12
92.7;60;64.11
92.8;60;64.11
92.9;60;64.1
93;60;64.1
93.1;60;64.1
93.2;60;64.09
93.3;60;64.09
93.4;60;64.09
93.5;60;64.08
93.6;60;64.08
93.7;60;64.09
93.8;60;64.09
93.9;60;64.09
94;60;64.09
94.1;60;64.09
94.2;60;64.1
94.3;60;64.1
94.4;60;64.1
94.5;60;64.1
94.6;60;64.1
94.7;60;64.1
94.8;60;64.1
94.9;60;64.1
95;60;64.1
95.1;60;64.09
95.2;60;64.09
95.3;60;64.09
95.4;60;64.09
95.5;60;64.09
95.6;60;64.09
95.7;60;64.09
95.8;60;64.09
95.9;60;64.09
96;60;64.09
96.1;60;64.09
96.2;60;64.09
96.3;60;64.09
96.4;60;64.09
96.5;60;64.09
96.6;60;64.09
96.7;60;64.09
96.8;60;64.09
96.9;60;64.09
97;60;64.09
97.1;60;64.09
97.2;60;64.09
97.3;60;64.09
97.4;60;64.09
97.5;60;64.1
97.6;60;64.1
97.7;60;64.11
97.8;60;64.11
97.9;60;64.12
98;60;64.13
98.1;60;64.13
98.2;60;64.14
98.3;60;64.14
98.4;60;64.15
98.5;60;64.15
98.6;60;64.16
98.7;60;64.17
98.8;60;64.17
98.9;60;64.18
99;60;64.18
99.1;60;64.19
99.2;60;64.19
99.3;60;64.2
99.4;60;64.2
99.5;60;64.21
99.6;60;64.22
99.7;60;64.22
99.8;60;64.23
99.9;60;64.23
100;60;64.24
